film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Patlabor EZY: File 3,Ami Koshimizu,cast,2,2026-08-12T07:50:48.900821+00:00,,,attached
Patlabor EZY: File 3,Setsuji Sato,cast,4,2026-08-12T07:50:48.900821+00:00,,,attached
Patlabor EZY: File 3,Chikahiro Kobayashi,cast,3,2026-08-12T07:50:48.900821+00:00,,,attached
The Seven Husbands of Evelyn Hugo,Joe Alwyn,cast,,2026-08-12T07:52:00.453997+00:00,2026-08-16T08:54:39.943114+00:00,97.044303,reverted
The Seven Husbands of Evelyn Hugo,Hunter Schafer,cast,,2026-08-12T07:52:00.453997+00:00,2026-08-15T08:04:11.625986+00:00,72.203103,reverted
The Last Days of Napoléon,Sercan Yüzbaşıoğlu,cast,0,2026-08-12T07:53:31.005238+00:00,,,attached
Ramba Oorvasi Menaka,Chandra Mohan Chintada,director,,2026-08-12T07:53:39.015625+00:00,,,attached
Ramba Oorvasi Menaka,Chandra Mohan Chintada,writer,,2026-08-12T07:53:39.015625+00:00,,,attached
Ramba Oorvasi Menaka,Raashi Singh,cast,5,2026-08-12T07:53:39.015625+00:00,2026-08-25T09:03:43.099662+00:00,313.167801,reverted
Ramba Oorvasi Menaka,Vishnu Priya Bhimeneni,cast,4,2026-08-12T07:53:39.015625+00:00,,,attached
Patlabor EZY: File 2,Ami Koshimizu,cast,2,2026-08-12T07:54:24.431317+00:00,,,attached
Patlabor EZY: File 2,Setsuji Sato,cast,4,2026-08-12T07:54:24.431317+00:00,,,attached
Primetime,Matthew Maher,cast,4,2026-08-12T09:00:26.887987+00:00,,,attached
Primetime,Phoebe Bridgers,cast,3,2026-08-12T09:00:26.887987+00:00,,,attached
Animals,Adriana Paz,cast,4,2026-08-13T07:55:25.696136+00:00,,,attached
Untitled Shang-Chi and the Legend of the Ten Rings Sequel,Destin Daniel Cretton,writer,,2026-08-13T07:55:42.456842+00:00,,,attached
Queen Victoria Aar Goyenda Kanaichawron,Shankar Chakraborty,cast,3,2026-08-13T07:57:50.674658+00:00,,,attached
Queen Victoria Aar Goyenda Kanaichawron,Sujoy Prasad Chatterjee,cast,2,2026-08-13T07:57:50.674658+00:00,,,attached
